metro_fips,metro_name,county_fips,county_name,county_population,metro_population,rank
35740,"Norfolk, NE",31119,"Madison County, Nebraska",35062,79675,540
35740,"Norfolk, NE",31003,"Antelope County, Nebraska",6406,79675,540
35740,"Norfolk, NE",31167,"Stanton County, Nebraska",6020,79675,540
35740,"Norfolk, NE",31037,"Colfax County, Nebraska",10616,79675,540
23980,"Glasgow, KY",21001,"Adair County, Kentucky",19304,79456,541
23980,"Glasgow, KY",21057,"Cumberland County, Kentucky",6744,79456,541
23980,"Glasgow, KY",21009,"Barren County, Kentucky",43418,79456,541
23980,"Glasgow, KY",21169,"Metcalfe County, Kentucky",9990,79456,541
19180,"Danville, IL",17183,"Vermilion County, Illinois",79207,79207,542
25020,"Guayama, PR",72109,"Patillas Municipio, Puerto Rico",17769,78896,543
25020,"Guayama, PR",72057,"Guayama Municipio, Puerto Rico",42623,78896,543
25020,"Guayama, PR",72015,"Arroyo Municipio, Puerto Rico",18504,78896,543
48820,"Willmar, MN",27067,"Kandiyohi County, Minnesota",42577,78863,544
48820,"Willmar, MN",27023,"Chippewa County, Minnesota",12040,78863,544
48820,"Willmar, MN",27129,"Renville County, Minnesota",14798,78863,544
48820,"Willmar, MN",27151,"Swift County, Minnesota",9448,78863,544
47700,"Warsaw, IN",18085,"Kosciusko County, Indiana",78720,78720,545
12180,"Auburn, NY",36011,"Cayuga County, New York",78319,78319,546
36460,"Olean, NY",36009,"Cattaraugus County, New York",78175,78175,547
22780,"Fort Leonard Wood, MO",29131,"Miller County, Missouri",24947,78079,548
22780,"Fort Leonard Wood, MO",29169,"Pulaski County, Missouri",53132,78079,548
26020,"Hobbs, NM",35025,"Lea County, New Mexico",69505,77986,549
26020,"Hobbs, NM",48501,"Yoakum County, Texas",8481,77986,549
32000,"Marion, NC",37011,"Avery County, North Carolina",17535,77759,550
32000,"Marion, NC",37121,"Mitchell County, North Carolina",15155,77759,550
32000,"Marion, NC",37111,"McDowell County, North Carolina",45069,77759,550
45660,"Tiffin, OH",39147,"Seneca County, Ohio",55549,77739,551
45660,"Tiffin, OH",39175,"Wyandot County, Ohio",22190,77739,551
47540,"Wapakoneta, OH",39011,"Auglaize County, Ohio",45778,77354,552
47540,"Wapakoneta, OH",39065,"Hardin County, Ohio",31576,77354,552
17060,"Chillicothe, OH",39141,"Ross County, Ohio",77125,77125,553
32980,"Merrill, WI",55085,"Oneida County, Wisconsin",35352,76912,554
32980,"Merrill, WI",55069,"Lincoln County, Wisconsin",27994,76912,554
32980,"Merrill, WI",55099,"Price County, Wisconsin",13566,76912,554
28580,"Key West, FL",12087,"Monroe County, Florida",76745,76745,555
37540,"Paris, TN",47017,"Carroll County, Tennessee",28137,76554,556
37540,"Paris, TN",47079,"Henry County, Tennessee",32263,76554,556
37540,"Paris, TN",47005,"Benton County, Tennessee",16154,76554,556
38740,"Poplar Bluff, MO",29023,"Butler County, Missouri",42826,76257,557
38740,"Poplar Bluff, MO",29223,"Wayne County, Missouri",13369,76257,557
38740,"Poplar Bluff, MO",29181,"Ripley County, Missouri",13807,76257,557
38740,"Poplar Bluff, MO",29035,"Carter County, Missouri",6255,76257,557
28300,"Keene, NH",33005,"Cheshire County, New Hampshire",76109,76109,558
16500,"Centralia, WA",53041,"Lewis County, Washington",76012,76012,559
40100,"Rio Grande City, TX",48247,"Jim Hogg County, Texas",5262,75933,560
40100,"Rio Grande City, TX",48047,"Brooks County, Texas",7251,75933,560
40100,"Rio Grande City, TX",48427,"Starr County, Texas",63420,75933,560
24060,"Glenwood Springs, CO",08097,"Pitkin County, Colorado",17747,75692,561
24060,"Glenwood Springs, CO",08045,"Garfield County, Colorado",57945,75692,561
22300,"Findlay, OH",39063,"Hancock County, Ohio",75508,75508,562
41780,"Sandusky, OH",39043,"Erie County, Ohio",75369,75369,563
34860,"Nacogdoches, TX",48347,"Nacogdoches County, Texas",65411,73814,564
34860,"Nacogdoches, TX",48405,"San Augustine County, Texas",8403,73814,564
38820,"Port Angeles, WA",53009,"Clallam County, Washington",73439,73439,565
31940,"Marinette, WI-MI",26109,"Menominee County, Michigan",23389,73136,566
31940,"Marinette, WI-MI",55041,"Forest County, Wisconsin",9035,73136,566
31940,"Marinette, WI-MI",55075,"Marinette County, Wisconsin",40712,73136,566
47460,"Walla Walla, WA",41063,"Wallowa County, Oregon",6864,72951,567
47460,"Walla Walla, WA",53013,"Columbia County, Washington",3999,72951,567
47460,"Walla Walla, WA",53023,"Garfield County, Washington",2226,72951,567
47460,"Walla Walla, WA",53071,"Walla Walla County, Washington",59862,72951,567
23700,"Gallup, NM",35031,"McKinley County, New Mexico",72849,72849,568
34700,"Muscatine, IA",19031,"Cedar County, Iowa",18368,72529,569
34700,"Muscatine, IA",19115,"Louisa County, Iowa",11238,72529,569
34700,"Muscatine, IA",19139,"Muscatine County, Iowa",42923,72529,569
24740,"Greenville, MS",28151,"Washington County, Mississippi",48002,72319,570
24740,"Greenville, MS",28125,"Sharkey County, Mississippi",4631,72319,570
24740,"Greenville, MS",28053,"Humphreys County, Mississippi",8678,72319,570
24740,"Greenville, MS",05017,"Chicot County, Arkansas",11008,72319,570
32660,"McMinnville, TN",47185,"White County, Tennessee",26394,72279,571
32660,"McMinnville, TN",47177,"Warren County, Tennessee",40210,72279,571
32660,"McMinnville, TN",47175,"Van Buren County, Tennessee",5675,72279,571
47920,"Washington Court House, OH",39047,"Fayette County, Ohio",28659,71690,572
47920,"Washington Court House, OH",39071,"Highland County, Ohio",43031,71690,572
22260,"Fergus Falls, MN",27111,"Otter Tail County, Minnesota",57790,71416,573
22260,"Fergus Falls, MN",27159,"Wadena County, Minnesota",13626,71416,573
22840,"Fort Payne, AL",01049,"DeKalb County, Alabama",71194,71194,574
28180,"Kapaa, HI",15007,"Kauai County, Hawaii",71093,71093,575
21180,"Elkins, WV",54075,"Pocahontas County, West Virginia",8574,70967,576
21180,"Elkins, WV",54101,"Webster County, West Virginia",8637,70967,576
21180,"Elkins, WV",54083,"Randolph County, West Virginia",29152,70967,576
21180,"Elkins, WV",54097,"Upshur County, West Virginia",24604,70967,576
38580,"Point Pleasant, WV-OH",39163,"Vinton County, Ohio",13142,70345,577
38580,"Point Pleasant, WV-OH",54053,"Mason County, West Virginia",27000,70345,577
38580,"Point Pleasant, WV-OH",39053,"Gallia County, Ohio",30203,70345,577
31930,"Marietta, OH",54095,"Tyler County, West Virginia",8949,69820,578
31930,"Marietta, OH",39167,"Washington County, Ohio",60871,69820,578
39940,"Rexburg, ID",16065,"Madison County, Idaho",38241,69447,579
39940,"Rexburg, ID",16033,"Clark County, Idaho",1055,69447,579
